type,title,director,cast,country,date_added,release_year,rating,duration,genre
Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,15-Sep-21,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies"
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,15-Sep-21,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies"
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa",Japan,15-Sep-21,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies"
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa",Japan,15-Sep-21,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies"
Movie,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale","United Kingdom, United States",8-Sep-21,2018,PG,90 min,"Children & Family Movies, Comedies"
Movie,Angamaly Diaries,Lijo Jose Pellissery,"Antony Varghese, Reshma Rajan, Binny Rinky Benjamin, Vineeth Vishwam, Kichu Tellus, Sreekanth Dasan, Sarath Kumar, Tito Wilson, Anandhu, Bitto Davis, Sinoj Varghese",India,5-Sep-21,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas"
Movie,A Champion Heart,David de Vos,"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",United States,4-Sep-21,2018,G,90 min,"Children & Family Movies, Dramas"
Movie,Anjaam,Rahul Rawail,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand, Johny Lever, Kalpana Iyer, Himani Shivpuri, Sudha Chandran, Beena, Kiran Kumar",India,2-Sep-21,1994,TV-14,143 min,"Dramas, International Movies, Thrillers"
Movie,Bright Star,Jane Campion,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin","United Kingdom, Australia, France",2-Sep-21,2009,PG,119 min,"Dramas, Romantic Movies"
Movie,Dhanak,Nagesh Kukunoor,"Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat",India,2-Sep-21,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies"
Movie,Gurgaon,Shanker Raman,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma",India,2-Sep-21,2017,TV-14,106 min,"Dramas, International Movies, Thrillers"
Movie,Shikara,Vidhu Vinod Chopra,"Aadil Khan, Sadia Khateeb, Zain Khan Durrani, Priyanshu Chatterjee, Bhavna Chauhan, Ashwin Dhar, Farid Azad Khan, Saghar Sehrai",India,2-Sep-21,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies"
Movie,A Cinderella Story,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","United States, Canada",1-Sep-21,2004,PG,95 min,"Children & Family Movies, Comedies"
Movie,An Unfinished Life,Lasse Hallström,"Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Damian Lewis, Camryn Manheim, Becca Gardner, Lynda Boyd, Rob Hayter, P. Lynn Johnson","Germany, United States",1-Sep-21,2005,PG-13,108 min,Dramas
Movie,Clear and Present Danger,Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Dean Jones, Thora Birch, James Earl Jones, Raymond Cruz","United States, Mexico",1-Sep-21,1994,PG-13,142 min,"Action & Adventure, Dramas"
Movie,Crocodile Dundee in Los Angeles,Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson","Australia, United States",1-Sep-21,2001,PG,95 min,"Action & Adventure, Comedies"
Movie,Dear John,Lasse Hallström,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter",United States,1-Sep-21,2010,PG-13,108 min,"Dramas, Romantic Movies"
Movie,Freedom Writers,Richard LaGravenese,"Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith","Germany, United States",1-Sep-21,2007,PG-13,124 min,Dramas
Movie,Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",United States,1-Sep-21,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak","Jay Chou, Anne Suzuki, Edison Chen, Anthony Wong Chau-sang, Shawn Yue, Chapman To, Jordan Chan, Kenny Bee","China, Hong Kong",1-Sep-21,2005,TV-14,109 min,"Action & Adventure, International Movies"
Movie,Labyrinth,Jim Henson,"David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser","United Kingdom, United States",1-Sep-21,1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies"
Movie,Letters to Juliet,Gary Winick,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan",United States,1-Sep-21,2010,PG,105 min,"Comedies, Dramas, Romantic Movies"
Movie,Level 16,Danishka Esterhazy,"Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan, Amalia Williamson, Josette Halpert, Kiana Madeira",Canada,1-Sep-21,2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers"
Movie,Love Don't Cost a Thing,Troy Byer,"Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman",United States,1-Sep-21,2003,PG-13,101 min,"Comedies, Romantic Movies"
Movie,Mars Attacks!,Tim Burton,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones, Lukas Haas, Natalie Portman",United States,1-Sep-21,1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy"
Movie,Marshall,Reginald Hudlin,"Chadwick Boseman, Josh Gad, Kate Hudson, Sterling K. Brown, Dan Stevens, James Cromwell, Keesha Sharp, Roger Guenveur Smith, Derrick Baskin, Barrett Doss","United States, China, Hong Kong",1-Sep-21,2017,PG-13,118 min,Dramas
Movie,Mystery Men,Kinka Usher,"Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits",United States,1-Sep-21,1999,PG-13,121 min,"Action & Adventure, Comedies"
Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman","Joel McHale, Mike Epps, Jane Krakowski, Billy Connolly, Crispin Glover, Steve Schirripa, Georgia Engel, Diedrich Bader, Cody Cameron, Fred Stoller, Olivia Hack","United States, Canada",1-Sep-21,2008,PG,76 min,"Children & Family Movies, Comedies"
Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly","Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein",United States,1-Sep-21,2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies"
Movie,Poseidon,Wolfgang Petersen,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez",United States,1-Sep-21,2006,PG-13,98 min,"Action & Adventure, Dramas"
Movie,Same Kind of Different as Me,Michael Carney,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt",United States,1-Sep-21,2017,PG-13,120 min,"Dramas, Faith & Spirituality"
Movie,School of Rock,Richard Linklater,"Jack Black, Joan Cusack, Mike White, Sarah Silverman, Lee Wilkof, Kate McGregor-Stewart, Adam Pascal, Suzzanne Douglas, Miranda Cosgrove, Kevin Alexander Clark, Joey Gaydos Jr., Robert Tsai, Veronica Afflerbach, Jordan-Claire Green","United States, Germany",1-Sep-21,2003,PG-13,110 min,"Comedies, Music & Musicals"
Movie,Snervous Tyler Oakley,Amy Rice,Tyler Oakley,United States,1-Sep-21,2015,PG-13,83 min,"Documentaries, LGBTQ Movies"
Movie,The Golden Child,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee",United States,1-Sep-21,1986,PG-13,94 min,"Action & Adventure, Comedies"
Movie,The Guns of Navarone,J. Lee Thompson,"Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle, James Darren, Irene Papas, Gia Scala, James Robertson Justice, Richard Harris","United Kingdom, United States",1-Sep-21,1961,TV-14,156 min,"Action & Adventure, Classic Movies"
Movie,The Nutty Professor,Tom Shadyac,"Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller, Dave Chappelle, John Ales, Patricia Wilson, Jamal Mixon",United States,1-Sep-21,1996,PG-13,95 min,"Comedies, Romantic Movies"
Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,"Martin Lawrence, James Earl Jones, Joy Bryant, Margaret Avery, Mike Epps, Mo'Nique, Cedric the Entertainer, Nicole Ari Parker, Michael Clarke Duncan, Louis C.K.",United States,1-Sep-21,2008,PG-13,114 min,Comedies
Movie,Thimmarusu,Sharan Koppisetty,"Satya Dev, Priyanka Jawalkar, Brahmaji",India,28-Aug-21,2021,TV-14,125 min,"Dramas, International Movies"
Movie,C Kkompany,Sachin Yardi,"Mithun Chakraborty, Tusshar Kapoor, Anupam Kher, Rajpal Yadav, Raima Sen, Dilip Prabhavalkar, Sanjay Mishra",India,27-Aug-21,2008,TV-14,127 min,"Action & Adventure, Comedies, International Movies"
Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,"Sanjay Dutt, Arjun Rampal, Malaika Arora, Aashish Chaudhary, Neha Uberoi, Urmila Matondkar, Manoj Joshi, Daya Shankar Pandey, Pushkar Jog, Kulbhushan Kharbanda",India,27-Aug-21,2008,TV-14,128 min,"Comedies, Dramas, International Movies"
Movie,Koi Aap Sa,Partho Mitra,"Aftab Shivdasani, Natassha, Dipannita Sharma, Himanshu Mallik, Vaidya Advai, Pushy Anand, Shama Deshpande, Rajendra Gupta",India,27-Aug-21,2006,TV-14,135 min,"Comedies, Dramas, International Movies"
Movie,Krishna Cottage,Santram Varma,"Sohail Khan, Isha Koppikar, Natassha, Rati Agnihotri, Vrajesh Hirjee, Divya Palat, Hiten Tejwani, Rajendranath Zutshi",India,27-Aug-21,2004,TV-14,124 min,"Action & Adventure, Horror Movies, International Movies"
Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu","Tusshar Kapoor, Esha Deol, Natassha, Vrajesh Hirjee, Kusumit Sana, Rishi Kapoor, Moon Moon Sen, Johny Lever, Ashay Chitre, Jeetendra",India,27-Aug-21,2003,TV-14,136 min,"Dramas, International Movies, Thrillers"
Movie,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,"Govinda, Sushmita Sen, Rambha, Anupam Kher, Satish Kaushik, Sharad Kapoor, Kiran Kumar, Mohnish Bahl",India,27-Aug-21,2001,TV-14,150 min,"Comedies, International Movies, Sci-Fi & Fantasy"
Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,"Vivek Oberoi, Zayed Khan, Shriya Saran, Nikitin Dheer, Shabbir Ahluwalia, Sunil Shetty, Shweta Bhardwaj",India,27-Aug-21,2008,TV-14,119 min,"Action & Adventure, International Movies, Music & Musicals"
Movie,Once Upon a Time in Mumbaai,Milan Luthria,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut, Prachi Desai, Randeep Hooda, Naved Aslam, Asif Basra, Avtar Gill",India,27-Aug-21,2010,TV-14,133 min,"Dramas, International Movies, Music & Musicals"
Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,"Akshay Kumar, Imran Khan, Sonakshi Sinha, Sonali Bendre, Sarfaraz Khan, Mahesh Manjrekar, Abhimanyu Singh, Kurush Deboo, Pitobash, Chetan Hansraj",India,27-Aug-21,2013,TV-14,142 min,"Dramas, International Movies, Music & Musicals"
Movie,Shor In the City,"Raj Nidimoru, Krishna D.K.","Sendhil Ramamurthy, Tusshar Kapoor, Nikhil Dwivedi, Preeti Desai, Sundeep Kishan, Radhika Apte, Pitobash, Girija Oak, Alok Chaturvedi, Sudhir Chowdhary",India,27-Aug-21,2011,TV-14,106 min,"Comedies, Dramas, Independent Movies"
Movie,The Dirty Picture,Milan Luthria,"Vidya Balan, Emraan Hashmi, Tusshar Kapoor, Naseeruddin Shah, Rajesh Sharma, Imran Hasnee, Anju Mahendru",India,27-Aug-21,2011,TV-14,145 min,"Comedies, Dramas, International Movies"
Movie,The Water Man,David Oyelowo,"David Oyelowo, Rosario Dawson, Lonnie Chavis, Amiah Miller, Alfred Molina, Maria Bello",United States,25-Aug-21,2021,PG,92 min,"Children & Family Movies, Dramas"
Movie,Like Crazy,Drake Doremus,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston, Oliver Muirhead, Finola Hughes, Chris Messina, Ben York Jones, Jamie Thomas King",United States,19-Aug-21,2011,PG-13,91 min,"Dramas, Independent Movies, Romantic Movies"
Movie,Bombay,Mani Ratnam,"Arvind Swamy, Manisha Koirala, Nasser, Raja Krishnamoorthy",India,18-Aug-21,1995,TV-14,135 min,"Dramas, International Movies, Romantic Movies"
Movie,Pahuna,Paakhi Tyrewala,"Anmol Limbu, Ishika Gurung, Manju Chettri, Banita Lagun, Binod Pradhan, Mahindra Bajgai, Rupa Tamang, Saran Rai","India, Nepal",18-Aug-21,2018,TV-PG,82 min,"Comedies, Dramas, International Movies"
Movie,Monster Hunter: Legends of the Guild,Steven Yamamoto,"Ben Rausch, Erica Lindbeck, Dante Basco, Brando Eaton, Stephen Kramer Glickman, Caroline Caliston, G.K. Bowes, Dan McCoy","United States, Japan",12-Aug-21,2021,TV-PG,59 min,"Action & Adventure, Anime Features, Children & Family Movies"
Movie,Brother Jekwu,Charles Uwagbai,"Mike Ezuruonye, Juliet Ochienge, Angela Okorie, Huddah Monroe, Catherine Kamau, Naomi Mburu, Derrick Aduwo, Chris Kamau, Abubakar Salum, Celebrity Landlord",Nigeria,11-Aug-21,2016,TV-14,101 min,"Comedies, International Movies"
Movie,The Kissing Booth 3,Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi, Molly Ringwald, Taylor Zakhar Perez, Maisie Richardson-Sellers, Meganne Young, Stephen Jennings","United Kingdom, United States",11-Aug-21,2021,TV-14,114 min,"Comedies, Romantic Movies"
Movie,Quartet,Dustin Hoffman,"Maggie Smith, Tom Courtenay, Billy Connolly, Pauline Collins, Michael Gambon, Andrew Sachs, Sheridan Smith, David Ryall, Trevor Peacock, Gwyneth Jones",United Kingdom,8-Aug-21,2012,PG-13,98 min,"Comedies, Dramas, Independent Movies"
Movie,The Paper Tigers,Quoc Bao Tran,"Alain Uy, Ron Yuan, Mykel Shannon Jenkins, Jae Suh Park, Matthew Page, Joziah Lagonoy, Raymond Ma",United States,7-Aug-21,2021,PG-13,111 min,"Action & Adventure, Comedies"
Movie,The Swarm,Just Philippot,"Suliane Brahim, Sofian Khammes, Marie Narbonne, Raphaël Romand, Stéphan Castang, Victor Bonnel, Christian Bouillette, Renan Prévot, Vincent Deniard",France,6-Aug-21,2021,TV-14,102 min,"Horror Movies, Independent Movies, International Movies"
Movie,Vivo,"Kirk DeMicco, Brandon Jeffords","Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldana, Juan de Marcos, Brian Tyree Henry, Gloria Estefan, Michael Rooker, Nicole Byer","Canada, United States",6-Aug-21,2021,PG,100 min,"Children & Family Movies, Music & Musicals"
Movie,Chennai Express,Rohit Shetty,"Shah Rukh Khan, Deepika Padukone, Nikitin Dheer, Satyaraj, Kamini Kaushal, Lekh Tandon, Mukesh Tiwari",India,5-Aug-21,2013,TV-14,135 min,"Action & Adventure, Comedies, International Movies"
Movie,Lady Boss: The Jackie Collins Story,Laura Fairrie,Jackie Collins,United Kingdom,5-Aug-21,2021,TV-14,97 min,Documentaries
Movie,'76,Izu Ojukwu,"Ramsey Nouah, Rita Dominic, Chidi Mokeme, Ibinabo Fiberesima, Daniel K. Daniel, Memry Savanhu, Adonijah Owiriwa, Pat Nebo, Nelly Ekwereogu, Shuaibu Ebenesi Adams, Debo Oguns, Ben Nwosu, Ada Ofoegbu",Nigeria,4-Aug-21,2016,TV-PG,118 min,"Dramas, International Movies"
TV Show,Office Girls,Hsu Fu-chun,"Roy Chiu, Alice Ko, Tia Lee, Patrick Lee, Kuo Shu-yao, James Wen, Janel Tsai",Taiwan,3-Aug-21,2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,Beethoven,Brian Levant,"Charles Grodin, Bonnie Hunt, Dean Jones, Oliver Platt, Stanley Tucci, Nicholle Tom, Christopher Castile, Sarah Rose Karr, David Duchovny, Patricia Heaton, O-Lan Jones, Nancy Fish",United States,1-Aug-21,1992,PG,87 min,"Children & Family Movies, Comedies"
Movie,Beethoven's 2nd,Rod Daniel,"Charles Grodin, Bonnie Hunt, Nicholle Tom, Christopher Castile, Sarah Rose Karr, Debi Mazar, Chris Penn",United States,1-Aug-21,1993,PG,88 min,"Children & Family Movies, Comedies"
Movie,Beowulf,Robert Zemeckis,"Ray Winstone, Anthony Hopkins, John Malkovich, Angelina Jolie, Robin Wright, Brendan Gleeson, Crispin Glover, Alison Lohman, Sharisse Baker-Bernard","United States, United Kingdom",1-Aug-21,2007,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,Catch Me If You Can,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin","United States, Canada",1-Aug-21,2002,PG-13,142 min,Dramas
Movie,Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller","Bill Hader, Anna Faris, James Caan, Andy Samberg, Bruce Campbell, Mr. T, Bobb'e J. Thompson, Benjamin Bratt, Neil Patrick Harris, Al Roker","United States, Canada",1-Aug-21,2009,PG,90 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
Movie,Ferris Bueller's Day Off,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Kristy Swanson, Ben Stein, Del Close",United States,1-Aug-21,1986,PG-13,103 min,"Classic Movies, Comedies, Cult Movies"
Movie,Five Feet Apart,Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moisés Arias, Kimberly Hébert Gregory, Parminder Nagra, Claire Forlani, Emily Baldoni, Gary Weeks, Cynthia Evans",United States,1-Aug-21,2019,PG-13,116 min,"Dramas, Romantic Movies"
Movie,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas","United States, United Kingdom",1-Aug-21,2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers"
